Month,Year,Activity,ProductionIndex
1,2015,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",69.4
1,2015,Paper and Paper Products Production,84.3
1,2015,Printing and Duplication of Audio and Video Material,72.6
1,2015,Coke and Refined Petroleum Production,87.0
1,2015,Chemicals and Chemical Products Production,88.9
1,2015,Basic Pharmaceutical Products and Remedies Production,76.0
1,2015,Rubber and Plastic Production,76.1
1,2015,Manufacture of Other Non-metallic Minerals Products,31.3
1,2015,Base Metals Production,87.0
1,2015,"Fabricated Metal Products Production, Except Machinery and Equipment",76.6
1,2015,"Computer, Electronic and Optical Products Production",79.6
1,2015,Electrical Equipment Production,74.8
1,2015,Unmentioned Machinery and Equipment Production,59.2
1,2015,"Motor Vehicles, Trailers and Semi-trailer Production",90.3
1,2015,Other Transport Equipment Production,78.9
1,2015,Furniture Production,77.2
1,2015,Other Manufacturing,71.9
1,2015,Repair and Installation of Machinery Equipment,78.4
1,2015,"Electricity, Gas, Steam and Air Conditioning Supply",110.0
1,2015,B - Mining,92.9
1,2015,C - Manufacturing Industry,77.4
1,2015,"D - Electricity, Gas, Steam and Air Conditioning Supply",110.0
1,2016,Total,89.8
1,2016,Coal Exploitation,109.1
1,2016,Oil and Natural Gas Exploitation,97.7
1,2016,Metal Ore Exploitation,100.1
1,2016,Other Types of Mining,24.4
1,2016,Food Products Production,77.1
1,2016,Drink Production,65.3
1,2016,Tobacoo Products Production,93.8
1,2016,Textile Production,70.1
1,2016,Clothing Production,84.0
1,2016,Leather and Leater Item Production,89.6
1,2016,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",79.8
1,2016,Paper and Paper Products Production,85.1
1,2016,Printing and Duplication of Audio and Video Material,77.1
1,2016,Coke and Refined Petroleum Production,95.6
1,2016,Chemicals and Chemical Products Production,116.5
1,2016,Basic Pharmaceutical Products and Remedies Production,74.6
1,2016,Rubber and Plastic Production,90.2
1,2016,Manufacture of Other Non-metallic Minerals Products,39.4
1,2016,Base Metals Production,69.1
1,2016,"Fabricated Metal Products Production, Except Machinery and Equipment",80.3
1,2016,"Computer, Electronic and Optical Products Production",97.4
1,2016,Electrical Equipment Production,79.6
1,2016,Unmentioned Machinery and Equipment Production,68.3
1,2016,"Motor Vehicles, Trailers and Semi-trailer Production",98.2
1,2016,Other Transport Equipment Production,81.7
1,2016,Furniture Production,71.4
1,2016,Other Manufacturing,86.1
1,2016,Repair and Installation of Machinery Equipment,84.4
1,2016,"Electricity, Gas, Steam and Air Conditioning Supply",121.8
1,2016,B - Mining,100.4
1,2016,C - Manufacturing Industry,81.4
1,2016,"D - Electricity, Gas, Steam and Air Conditioning Supply",121.8
1,2017,Total,92.7
1,2017,Coal Exploitation,101.7
1,2017,Oil and Natural Gas Exploitation,90.4
1,2017,Metal Ore Exploitation,103.1
1,2017,Other Types of Mining,24.6
1,2017,Food Products Production,84.5
1,2017,Drink Production,60.4
1,2017,Tobacoo Products Production,109.0
1,2017,Textile Production,90.0
1,2017,Clothing Production,94.4
1,2017,Leather and Leater Item Production,80.3
1,2017,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",78.3
1,2017,Paper and Paper Products Production,96.1
1,2017,Printing and Duplication of Audio and Video Material,77.8
1,2017,Coke and Refined Petroleum Production,88.1
1,2017,Chemicals and Chemical Products Production,99.8
1,2017,Basic Pharmaceutical Products and Remedies Production,97.3
1,2017,Rubber and Plastic Production,102.0
1,2017,Manufacture of Other Non-metallic Minerals Products,32.9
1,2017,Base Metals Production,109.8
1,2017,"Fabricated Metal Products Production, Except Machinery and Equipment",92.6
1,2017,"Computer, Electronic and Optical Products Production",99.9
1,2017,Electrical Equipment Production,81.4
1,2017,Unmentioned Machinery and Equipment Production,92.9
1,2017,"Motor Vehicles, Trailers and Semi-trailer Production",87.6
1,2017,Other Transport Equipment Production,146.5
1,2017,Furniture Production,74.5
1,2017,Other Manufacturing,94.1
1,2017,Repair and Installation of Machinery Equipment,75.0
1,2017,"Electricity, Gas, Steam and Air Conditioning Supply",113.4
1,2017,B - Mining,95.4
1,2017,C - Manufacturing Industry,87.6
1,2017,"D - Electricity, Gas, Steam and Air Conditioning Supply",113.4
1,2018,Total,102.6
1,2018,Coal Exploitation,110.4
1,2018,Oil and Natural Gas Exploitation,86.3
1,2018,Metal Ore Exploitation,117.9
1,2018,Other Types of Mining,55.0
